model,n,mae,wape,bias,actual_total
seasonal_naive,273,50.417582417582416,0.1316738575159522,-4.388278388278389,104531.0
weekday_mean_4w,273,44.66849816849817,0.11665917287694559,-8.765567765567766,104531.0
