model,n,mae,wape,bias,actual_total
lightgbm,105,38.51377525806921,0.10347072645644569,16.00146101132192,39083.0
seasonal_naive,105,34.7047619047619,0.09323746897628125,2.5142857142857142,39083.0
weekday_mean_4w,105,31.97142857142857,0.08589412276437326,9.104761904761904,39083.0
